Question	Answer	Source	Metadata	SuggestedQuestions	IsContextOnly	Prompts	QnaId
I don't think my university or college is doing enough: a) to prevent the spread of coronavirus, or b) to support students in the current situation. What should I do?	Students with concerns should first raise these with their university, college or other higher education provider.\n\nStudents can escalate complaints with the [Office of the Independent Adjudicator](https://www.oiahe.org.uk/) (OIA) once they have exhausted the complaints procedure at their higher education provider.\n\nThe OfS does not have a direct role in individual student complaints, but students or organisations or members of the public may [tell us](https://www.officeforstudents.org.uk/contact/complaints-and-notifications/) about any issue that may be of regulatory interest to us.\n\nThe OfS will then consider this as part of our overall regulation of the provider.	http://andypowe11.net/ofs.html		[]	false	[]	464
How should I report that my university is not doing enough to handle the coronavirus situation?	Students with concerns should first raise these with their university, college or other higher education provider.\n\nStudents can escalate complaints with the [Office of the Independent Adjudicator](https://www.oiahe.org.uk/) (OIA) once they have exhausted the complaints procedure at their higher education provider.\n\nThe OfS does not have a direct role in individual student complaints, but students or organisations or members of the public may [tell us](https://www.officeforstudents.org.uk/contact/complaints-and-notifications/) about any issue that may be of regulatory interest to us.\n\nThe OfS will then consider this as part of our overall regulation of the provider.	http://andypowe11.net/ofs.html		[]	false	[]	464
What sort of pastoral care should I expect from my university or college in the current situation?	Universities and colleges governing bodies and leadership teams will need to make good judgements about the actions necessary to protect the interests of students and, in particular, to ensure that students have effective pastoral support.	http://andypowe11.net/ofs.html		[]	false	[]	465
What pastoral care should my university be providing?	Universities and colleges governing bodies and leadership teams will need to make good judgements about the actions necessary to protect the interests of students and, in particular, to ensure that students have effective pastoral support.	http://andypowe11.net/ofs.html		[]	false	[]	465
What support should students with care experience, refugees, estranged students and other vulnerable groups expect from their university or college?	The government has asked universities and colleges to make sure that certain groups of students get the support that they need during the coronavirus outbreak. These include\n\n*   international students\n\n*   care leavers\n\n*   estranged students\n\n*   disabled students\n\n*   students who live with people in high risk groups.\n\nUniversities and colleges should ensure that the following support is in place for these groups:\n\n*   Guaranteed appropriate accommodation. If it is safe and feasible vulnerable students should have the option to remain in their accommodation. If students are required to move, universities and colleges should make sure that those students can get the practical assistance that they need.\n\n*   Continued access to established financial support, and to immediate hardship funding if necessary. Where universities and colleges are likely to be impacted by staff shortages or office closures this may need to be paid to vulnerable students in advance.\n\n*   Practical support to access food, medical and cleaning supplies.\n\n*   Ongoing access to a first point of contact for student queries and concerns and for proactive wellbeing support.\n\n*   Ongoing access to student support networks, mental health support and academic support where required.\n\nIf you are concerned that your university or college is not providing enough support for these groups of students, please raise it with them in the first instance.\n\nStudents can escalate complaints with the [Office of the Independent Adjudicator](https://www.oiahe.org.uk/) once they have exhausted the complaints procedure at their higher education provider.	http://andypowe11.net/ofs.html		[]	false	[]	467
What mental health support can I expect from my university or college during the coronavirus pandemic?	The OfS recognises that this is an anxious time for many. Universities and colleges should be providing clear and accessible information about mental health and wellbeing support for their full student population.\n\nThis includes continuing to provide appropriate support for students who have an existing mental health condition that they have declared to their university or college.\n\nMany universities and colleges have been quick to respond to the emerging and challenging situation including through moving support services such as counselling and mentoring to phone or online.\n\nIf you have concerns about your mental health, it is important to get in touch with your university or college.\n\nFor more information about other organisations which may be able to support you, please see our [mental health resources for students](https://www.officeforstudents.org.uk/advice-and-guidance/student-wellbeing-and-protection/mental-health/resources-for-students/) webpage.	http://andypowe11.net/ofs.html		[]	false	[]	468
Should my university or college be providing help with mental health.	The OfS recognises that this is an anxious time for many. Universities and colleges should be providing clear and accessible information about mental health and wellbeing support for their full student population.\n\nThis includes continuing to provide appropriate support for students who have an existing mental health condition that they have declared to their university or college.\n\nMany universities and colleges have been quick to respond to the emerging and challenging situation including through moving support services such as counselling and mentoring to phone or online.\n\nIf you have concerns about your mental health, it is important to get in touch with your university or college.\n\nFor more information about other organisations which may be able to support you, please see our [mental health resources for students](https://www.officeforstudents.org.uk/advice-and-guidance/student-wellbeing-and-protection/mental-health/resources-for-students/) webpage.	http://andypowe11.net/ofs.html		[]	false	[]	468
Will I still be able to access my student loan if my university or college is closed?	The Student Loans Company (SLC) has published [guidance on loans](https://www.gov.uk/government/organisations/student-loans-company) on their website.	http://andypowe11.net/ofs.html		[]	false	[]	469
What guiddance about student loans is available?	The Student Loans Company (SLC) has published [guidance on loans](https://www.gov.uk/government/organisations/student-loans-company) on their website.	http://andypowe11.net/ofs.html		[]	false	[]	469
Will I be able to stay in my accommodation?	Please see the [latest government guidance](https://www.gov.uk/government/publications/coronavirus-covid-19-guidance-on-isolation-for-residential-educational-settings/coronavirus-covid-19-guidance-on-isolation-for-residential-educational-settings#university-or-college-halls-of-residence-for-students-aged-18-or-over) on university or college halls of residence, which includes information for students who may be infected with coronavirus.	http://andypowe11.net/ofs.html		[]	false	[]	470
Are halls of residence staying open during the coronavirus outbreak?	Please see the [latest government guidance](https://www.gov.uk/government/publications/coronavirus-covid-19-guidance-on-isolation-for-residential-educational-settings/coronavirus-covid-19-guidance-on-isolation-for-residential-educational-settings#university-or-college-halls-of-residence-for-students-aged-18-or-over) on university or college halls of residence, which includes information for students who may be infected with coronavirus.	http://andypowe11.net/ofs.html		[]	false	[]	470
What about international students who cannot return to their home countries or those who do not have family to stay with?	Contact your university or college for guidance about individual circumstances. The UK Council for International Student Affairs (UKCISA) has published some [general information for international students](https://www.ukcisa.org.uk/Information--Advice/Studying--living-in-the-UK/Coronavirus-Covid-19-info-for-international-students).\n\nVisa nationals who cannot return home due to the COVID-19 pandemic will be able to extend their visa.\n\nThe extension will apply to anyone whose leave expired after the 24 January and who cannot leave the country because of travel restrictions or self-isolation. This will last until 31 May but will be kept under regular review in case further extensions are needed.\n\nFor more detailed advice for both prospective and current international students, see the guide on on [Discover Uni](https://discoveruni.gov.uk/corona-covid-19-information/).\n\nAdditional advice for international students in the UK at this time can be found on [Study UK](https://study-uk.britishcouncil.org/moving-uk/coronavirus).	http://andypowe11.net/ofs.html		[]	false	[]	471
I don't have any family in the UK. What should I do?	Contact your university or college for guidance about individual circumstances. The UK Council for International Student Affairs (UKCISA) has published some [general information for international students](https://www.ukcisa.org.uk/Information--Advice/Studying--living-in-the-UK/Coronavirus-Covid-19-info-for-international-students).\n\nVisa nationals who cannot return home due to the COVID-19 pandemic will be able to extend their visa.\n\nThe extension will apply to anyone whose leave expired after the 24 January and who cannot leave the country because of travel restrictions or self-isolation. This will last until 31 May but will be kept under regular review in case further extensions are needed.\n\nFor more detailed advice for both prospective and current international students, see the guide on on [Discover Uni](https://discoveruni.gov.uk/corona-covid-19-information/).\n\nAdditional advice for international students in the UK at this time can be found on [Study UK](https://study-uk.britishcouncil.org/moving-uk/coronavirus).	http://andypowe11.net/ofs.html		[]	false	[]	471
I cannot return to my overseas home. What should I do?	Contact your university or college for guidance about individual circumstances. The UK Council for International Student Affairs (UKCISA) has published some [general information for international students](https://www.ukcisa.org.uk/Information--Advice/Studying--living-in-the-UK/Coronavirus-Covid-19-info-for-international-students).\n\nVisa nationals who cannot return home due to the COVID-19 pandemic will be able to extend their visa.\n\nThe extension will apply to anyone whose leave expired after the 24 January and who cannot leave the country because of travel restrictions or self-isolation. This will last until 31 May but will be kept under regular review in case further extensions are needed.\n\nFor more detailed advice for both prospective and current international students, see the guide on on [Discover Uni](https://discoveruni.gov.uk/corona-covid-19-information/).\n\nAdditional advice for international students in the UK at this time can be found on [Study UK](https://study-uk.britishcouncil.org/moving-uk/coronavirus).	http://andypowe11.net/ofs.html		[]	false	[]	471
What should universities and colleges be doing to help students to continue with courses and assessments?	The OfS have published [guidance for universities and colleges](https://www.officeforstudents.org.uk/publications/guidance-for-providers-about-quality-and-standards-during-coronavirus-pandemic/) about how the OfS will regulate quality and standards during this period of disruption. This states that universities and colleges should make all reasonable efforts:\n\n*   to enable students to complete their studies\n\n*   for achievement to be reliably assessed\n\n*   for qualifications to be awarded securely\n\n*   to enable a fair and robust admissions process for entrants to courses in 2020-21.\n\nUniversities and colleges can decide how best to do this based on the context they are working in but it is important that they consider how all students are affected, particularly those who might not be able to access remote learning for any reason.\n\nIf your university or college makes any changes to your contractual terms and conditions because they are changing the way that they deliver your course or award your qualification, they should contact you to tell you:\n\n*   what the changes are, before they take effect\n\n*   the reasons for the changes\n\n*   the impact the changes are likely to have\n\n*   the options available to you if you want to avoid the changes (without you being adversely affected).\n\nIf you are not getting the information you need, contact your university or college course team or support services to ask for advice. You can make a complaint to your university or college, or an academic appeal, about the arrangements put in place during the pandemic.\n\nIf you are still not satisfied, you may be able to make a complaint to the Office of the Independent Adjudicator (OIA). Check their [coronavirus guidance for students](https://www.oiahe.org.uk/students/coronavirus-faq-for-students/).	http://andypowe11.net/ofs.html		[]	false	[]	472
What is happening to assessments?	The OfS have published [guidance for universities and colleges](https://www.officeforstudents.org.uk/publications/guidance-for-providers-about-quality-and-standards-during-coronavirus-pandemic/) about how the OfS will regulate quality and standards during this period of disruption. This states that universities and colleges should make all reasonable efforts:\n\n*   to enable students to complete their studies\n\n*   for achievement to be reliably assessed\n\n*   for qualifications to be awarded securely\n\n*   to enable a fair and robust admissions process for entrants to courses in 2020-21.\n\nUniversities and colleges can decide how best to do this based on the context they are working in but it is important that they consider how all students are affected, particularly those who might not be able to access remote learning for any reason.\n\nIf your university or college makes any changes to your contractual terms and conditions because they are changing the way that they deliver your course or award your qualification, they should contact you to tell you:\n\n*   what the changes are, before they take effect\n\n*   the reasons for the changes\n\n*   the impact the changes are likely to have\n\n*   the options available to you if you want to avoid the changes (without you being adversely affected).\n\nIf you are not getting the information you need, contact your university or college course team or support services to ask for advice. You can make a complaint to your university or college, or an academic appeal, about the arrangements put in place during the pandemic.\n\nIf you are still not satisfied, you may be able to make a complaint to the Office of the Independent Adjudicator (OIA). Check their [coronavirus guidance for students](https://www.oiahe.org.uk/students/coronavirus-faq-for-students/).	http://andypowe11.net/ofs.html		[]	false	[]	472
Can I continue with my university or college course?	The OfS have published [guidance for universities and colleges](https://www.officeforstudents.org.uk/publications/guidance-for-providers-about-quality-and-standards-during-coronavirus-pandemic/) about how the OfS will regulate quality and standards during this period of disruption. This states that universities and colleges should make all reasonable efforts:\n\n*   to enable students to complete their studies\n\n*   for achievement to be reliably assessed\n\n*   for qualifications to be awarded securely\n\n*   to enable a fair and robust admissions process for entrants to courses in 2020-21.\n\nUniversities and colleges can decide how best to do this based on the context they are working in but it is important that they consider how all students are affected, particularly those who might not be able to access remote learning for any reason.\n\nIf your university or college makes any changes to your contractual terms and conditions because they are changing the way that they deliver your course or award your qualification, they should contact you to tell you:\n\n*   what the changes are, before they take effect\n\n*   the reasons for the changes\n\n*   the impact the changes are likely to have\n\n*   the options available to you if you want to avoid the changes (without you being adversely affected).\n\nIf you are not getting the information you need, contact your university or college course team or support services to ask for advice. You can make a complaint to your university or college, or an academic appeal, about the arrangements put in place during the pandemic.\n\nIf you are still not satisfied, you may be able to make a complaint to the Office of the Independent Adjudicator (OIA). Check their [coronavirus guidance for students](https://www.oiahe.org.uk/students/coronavirus-faq-for-students/).	http://andypowe11.net/ofs.html		[]	false	[]	472
