Question	Answer	Source	Metadata	SuggestedQuestions	IsContextOnly	Prompts	QnaId
I don't think my university or college is doing enough: a) to prevent the spread of coronavirus, or b) to support students in the current situation. What should I do?	Students with concerns should first raise these with their university, college or other higher education provider.\n\nStudents can escalate complaints with the [Office of the Independent Adjudicator](https://www.oiahe.org.uk/) (OIA) once they have exhausted the complaints procedure at their higher education provider.\n\nThe OfS does not have a direct role in individual student complaints, but students or organisations or members of the public may [tell us](https://www.officeforstudents.org.uk/contact/complaints-and-notifications/) about any issue that may be of regulatory interest to us.\n\nThe OfS will then consider this as part of our overall regulation of the provider.	ofs (2).tsv		[]	false	[]	243
How should I report that my university is not doing enough to handle the coronavirus situation?	Students with concerns should first raise these with their university, college or other higher education provider.\n\nStudents can escalate complaints with the [Office of the Independent Adjudicator](https://www.oiahe.org.uk/) (OIA) once they have exhausted the complaints procedure at their higher education provider.\n\nThe OfS does not have a direct role in individual student complaints, but students or organisations or members of the public may [tell us](https://www.officeforstudents.org.uk/contact/complaints-and-notifications/) about any issue that may be of regulatory interest to us.\n\nThe OfS will then consider this as part of our overall regulation of the provider.	ofs (2).tsv		[]	false	[]	243
What sort of pastoral care should I expect from my university or college in the current situation?	Universities and colleges governing bodies and leadership teams will need to make good judgements about the actions necessary to protect the interests of students and, in particular, to ensure that students have effective pastoral support.	ofs (2).tsv		[]	false	[]	244
What pastoral care should my university be providing?	Universities and colleges governing bodies and leadership teams will need to make good judgements about the actions necessary to protect the interests of students and, in particular, to ensure that students have effective pastoral support.	ofs (2).tsv		[]	false	[]	244
What support should students with care experience, refugees, estranged students and other vulnerable groups expect from their university or college?	The government has asked universities and colleges to make sure that certain groups of students get the support that they need during the coronavirus outbreak. These include\n\n*   international students\n\n*   care leavers\n\n*   estranged students\n\n*   disabled students\n\n*   students who live with people in high risk groups.\n\nUniversities and colleges should ensure that the following support is in place for these groups:\n\n*   Guaranteed appropriate accommodation. If it is safe and feasible vulnerable students should have the option to remain in their accommodation. If students are required to move, universities and colleges should make sure that those students can get the practical assistance that they need.\n\n*   Continued access to established financial support, and to immediate hardship funding if necessary. Where universities and colleges are likely to be impacted by staff shortages or office closures this may need to be paid to vulnerable students in advance.\n\n*   Practical support to access food, medical and cleaning supplies.\n\n*   Ongoing access to a first point of contact for student queries and concerns and for proactive wellbeing support.\n\n*   Ongoing access to student support networks, mental health support and academic support where required.\n\nIf you are concerned that your university or college is not providing enough support for these groups of students, please raise it with them in the first instance.\n\nStudents can escalate complaints with the [Office of the Independent Adjudicator](https://www.oiahe.org.uk/) once they have exhausted the complaints procedure at their higher education provider.	ofs (2).tsv		[]	false	[]	245
What mental health support can I expect from my university or college during the coronavirus pandemic?	The OfS recognises that this is an anxious time for many. Universities and colleges should be providing clear and accessible information about mental health and wellbeing support for their full student population.\n\nThis includes continuing to provide appropriate support for students who have an existing mental health condition that they have declared to their university or college.\n\nMany universities and colleges have been quick to respond to the emerging and challenging situation including through moving support services such as counselling and mentoring to phone or online.\n\nIf you have concerns about your mental health, it is important to get in touch with your university or college.\n\nFor more information about other organisations which may be able to support you, please see our [mental health resources for students](https://www.officeforstudents.org.uk/advice-and-guidance/student-wellbeing-and-protection/mental-health/resources-for-students/) webpage.	ofs (2).tsv		[]	false	[]	246
Should my university or college be providing help with mental health.	The OfS recognises that this is an anxious time for many. Universities and colleges should be providing clear and accessible information about mental health and wellbeing support for their full student population.\n\nThis includes continuing to provide appropriate support for students who have an existing mental health condition that they have declared to their university or college.\n\nMany universities and colleges have been quick to respond to the emerging and challenging situation including through moving support services such as counselling and mentoring to phone or online.\n\nIf you have concerns about your mental health, it is important to get in touch with your university or college.\n\nFor more information about other organisations which may be able to support you, please see our [mental health resources for students](https://www.officeforstudents.org.uk/advice-and-guidance/student-wellbeing-and-protection/mental-health/resources-for-students/) webpage.	ofs (2).tsv		[]	false	[]	246
Will I still be able to access my student loan if my university or college is closed?	The Student Loans Company (SLC) has published [guidance on loans](https://www.gov.uk/government/organisations/student-loans-company) on their website.	ofs (2).tsv		[]	false	[]	247
What guiddance about student loans is available?	The Student Loans Company (SLC) has published [guidance on loans](https://www.gov.uk/government/organisations/student-loans-company) on their website.	ofs (2).tsv		[]	false	[]	247
Will I be able to stay in my accommodation?	Please see the [latest government guidance](https://www.gov.uk/government/publications/coronavirus-covid-19-guidance-on-isolation-for-residential-educational-settings/coronavirus-covid-19-guidance-on-isolation-for-residential-educational-settings#university-or-college-halls-of-residence-for-students-aged-18-or-over) on university or college halls of residence, which includes information for students who may be infected with coronavirus.	ofs (2).tsv		[]	false	[]	248
