Question	Answer	Source	Metadata	SuggestedQuestions	IsContextOnly	Prompts	QnaId
When am I allowed to leave the house?	The government says that you should only leave the house for very limited purposes:\n\n*   shopping for basic necessities, for example food and medicine, which must be as infrequent as possible\n\n*   one form of exercise a day, for example a run, walk, or cycle - alone or with members of your household\n\n*   any medical need, including to donate blood, avoid or escape risk of injury or harm, or to provide care or to help a vulnerable person\n\n*   travelling for work purposes, but only where you cannot work from home\n\n[Find out more about staying at home and away from others](https://www.gov.uk/government/publications/full-guidance-on-staying-at-home-and-away-from-others/full-guidance-on-staying-at-home-and-away-from-others)	https://www.gov.uk/government/publications/coronavirus-outbreak-faqs-what-you-can-and-cant-do/coronavirus-outbreak-faqs-what-you-can-and-cant-do		[]	false	[]	131
Can I leave my house?	The government says that you should only leave the house for very limited purposes:\n\n*   shopping for basic necessities, for example food and medicine, which must be as infrequent as possible\n\n*   one form of exercise a day, for example a run, walk, or cycle - alone or with members of your household\n\n*   any medical need, including to donate blood, avoid or escape risk of injury or harm, or to provide care or to help a vulnerable person\n\n*   travelling for work purposes, but only where you cannot work from home\n\n[Find out more about staying at home and away from others](https://www.gov.uk/government/publications/full-guidance-on-staying-at-home-and-away-from-others/full-guidance-on-staying-at-home-and-away-from-others)	https://www.gov.uk/government/publications/coronavirus-outbreak-faqs-what-you-can-and-cant-do/coronavirus-outbreak-faqs-what-you-can-and-cant-do		[]	false	[]	131
Can I go to the dentist, my GP or another medical appointment?	You can leave home for medical appointments.\n\nGP practices may postpone non-urgent health checks or routine appointments.\n\nYou should go to the doctor if there is an essential medical need.	https://www.gov.uk/government/publications/coronavirus-outbreak-faqs-what-you-can-and-cant-do/coronavirus-outbreak-faqs-what-you-can-and-cant-do		[]	false	[]	132
Can I walk my dog?	Yes – provided it is alone or with members of your household.\n\nPeople must stay at home as much as possible to reduce the spread of the virus. But you can also still go outside **once a day** for a walk, run, cycle. When doing this you must minimise the time you are out of your home and stay at least two metres away from anyone else that isn’t from your household.\n\n[Further advice for people with animals](https://www.gov.uk/guidance/coronavirus-covid-19-advice-for-people-with-animals)	https://www.gov.uk/government/publications/coronavirus-outbreak-faqs-what-you-can-and-cant-do/coronavirus-outbreak-faqs-what-you-can-and-cant-do		[]	false	[]	133
Can I look after my horse?	Yes – provided it is alone or with members of your household.\n\nPeople must stay at home as much as possible to reduce the spread of the virus. But you can also still go outside **once a day** for a walk, run, cycle. When doing this you must minimise the time you are out of your home and stay at least two metres away from anyone else that isn’t from your household.\n\n[Further advice for people with animals](https://www.gov.uk/guidance/coronavirus-covid-19-advice-for-people-with-animals)	https://www.gov.uk/government/publications/coronavirus-outbreak-faqs-what-you-can-and-cant-do/coronavirus-outbreak-faqs-what-you-can-and-cant-do		[]	false	[]	133
Should I stay at home or go to work?	The government says that you may travel for work purposes, but only where you cannot work from home.\n\nCertain jobs require people to travel to their place of work – for instance if they operate machinery, work in construction or manufacturing, or are delivering front line services such as train and bus drivers.\n\nEmployers and employees should discuss their working arrangements, and employers should take every possible step to facilitate their employees working from home, including providing suitable IT and equipment to enable remote working.	https://www.gov.uk/government/publications/coronavirus-outbreak-faqs-what-you-can-and-cant-do/coronavirus-outbreak-faqs-what-you-can-and-cant-do		[]	false	[]	134
Can I go to work?	The government says that you may travel for work purposes, but only where you cannot work from home.\n\nCertain jobs require people to travel to their place of work – for instance if they operate machinery, work in construction or manufacturing, or are delivering front line services such as train and bus drivers.\n\nEmployers and employees should discuss their working arrangements, and employers should take every possible step to facilitate their employees working from home, including providing suitable IT and equipment to enable remote working.	https://www.gov.uk/government/publications/coronavirus-outbreak-faqs-what-you-can-and-cant-do/coronavirus-outbreak-faqs-what-you-can-and-cant-do		[]	false	[]	134
I’m not a critical worker and I can’t work from home. What should I do?	If you cannot work from home then the government says that you can still travel to work. This is consistent with the Chief Medical Officer’s advice.\n\n[Critical workers](https://www.gov.uk/government/publications/coronavirus-covid-19-maintaining-educational-provision/guidance-for-schools-colleges-and-local-authorities-on-maintaining-educational-provision) are those who can still take their children to school or childcare. This critical worker definition does not affect whether or not you can travel to work – if you are not a critical worker, you may still travel to work provided you cannot work from home.\n\nAnyone who has symptoms or is in a household where someone has symptoms should not go to work and should self-isolate.	https://www.gov.uk/government/publications/coronavirus-outbreak-faqs-what-you-can-and-cant-do/coronavirus-outbreak-faqs-what-you-can-and-cant-do		[]	false	[]	135
How can I find out if my work is essential or not?	The government is not saying only people doing “essential” work can go to work. Anyone who cannot work from home can still go to work.\n\nSeparately, there is a [list of critical workers](https://www.gov.uk/government/publications/coronavirus-covid-19-maintaining-educational-provision/guidance-for-schools-colleges-and-local-authorities-on-maintaining-educational-provision) who can still take their children to school or childcare. Provision has been prioritised for these workers.\n\nEvery worker – whether critical or not – should work from home if they can but may otherwise travel to work.\n\nWe have also asked certain businesses where people gather, such as pubs and most shops, to close. [Separate guidance](https://www.gov.uk/government/publications/further-businesses-and-premises-to-close/further-businesses-and-premises-to-close-guidance) has been published on this.	https://www.gov.uk/government/publications/coronavirus-outbreak-faqs-what-you-can-and-cant-do/coronavirus-outbreak-faqs-what-you-can-and-cant-do		[]	false	[]	136
Can I only go to work if my work is classed as essential?	The government is not saying only people doing “essential” work can go to work. Anyone who cannot work from home can still go to work.\n\nSeparately, there is a [list of critical workers](https://www.gov.uk/government/publications/coronavirus-covid-19-maintaining-educational-provision/guidance-for-schools-colleges-and-local-authorities-on-maintaining-educational-provision) who can still take their children to school or childcare. Provision has been prioritised for these workers.\n\nEvery worker – whether critical or not – should work from home if they can but may otherwise travel to work.\n\nWe have also asked certain businesses where people gather, such as pubs and most shops, to close. [Separate guidance](https://www.gov.uk/government/publications/further-businesses-and-premises-to-close/further-businesses-and-premises-to-close-guidance) has been published on this.	https://www.gov.uk/government/publications/coronavirus-outbreak-faqs-what-you-can-and-cant-do/coronavirus-outbreak-faqs-what-you-can-and-cant-do		[]	false	[]	136
Can I see my friends?	The government says that we must all stay away from each other to stop spreading the virus, and that means you should not be meeting friends unless you live in the same household.\n\nInstead, you could keep in touch with your friends using phone or video calls.	https://www.gov.uk/government/publications/coronavirus-outbreak-faqs-what-you-can-and-cant-do/coronavirus-outbreak-faqs-what-you-can-and-cant-do		[]	false	[]	137
Can I meet with my friends?	The government says that we must all stay away from each other to stop spreading the virus, and that means you should not be meeting friends unless you live in the same household.\n\nInstead, you could keep in touch with your friends using phone or video calls.	https://www.gov.uk/government/publications/coronavirus-outbreak-faqs-what-you-can-and-cant-do/coronavirus-outbreak-faqs-what-you-can-and-cant-do		[]	false	[]	137
Can I invite friends round to my house?	The government says that we must all stay away from each other to stop spreading the virus, and that means you should not be meeting friends unless you live in the same household.\n\nInstead, you could keep in touch with your friends using phone or video calls.	https://www.gov.uk/government/publications/coronavirus-outbreak-faqs-what-you-can-and-cant-do/coronavirus-outbreak-faqs-what-you-can-and-cant-do		[]	false	[]	137
Can I visit elderly relatives?	No, the government says that you should not be visiting family members who do not live in your home.\n\nYou should keep in touch with them using phone or video calls.\n\nWhere your relatives are elderly or vulnerable, you may leave your house to help them, for example by dropping shopping or medication at their door. You can also help them to order online.	https://www.gov.uk/government/publications/coronavirus-outbreak-faqs-what-you-can-and-cant-do/coronavirus-outbreak-faqs-what-you-can-and-cant-do		[]	false	[]	138
Can I go out to help a vulnerable person?	The government says that you can only provide support to vulnerable people if you fulfil **all** of the conditions below:\n\n*   you are well and have no symptoms like a cough or high temperature and nobody in your household does\n\n*   you are under 70\n\n*   you are not pregnant\n\n*   you do not have any long-term health conditions that make you vulnerable to coronavirus\n\nIf the answer is yes to everything above, you may leave your house to provide care or to help a vulnerable person, [following the advice set out here](https://www.gov.uk/government/publications/coronavirus-how-to-help-safely--2/coronavirus-how-to-help-safely).\n\nWhen outside the home, you should stay at least two metres away from others wherever possible.\n\nWe have seen an incredible effort across the country already, and we’re hugely grateful to those who support the vulnerable in their communities by volunteering day-to-day.	https://www.gov.uk/government/publications/coronavirus-outbreak-faqs-what-you-can-and-cant-do/coronavirus-outbreak-faqs-what-you-can-and-cant-do		[]	false	[]	139
My boss is forcing me to go to work but I’m scared of coronavirus. What should I do?	Employers must make all efforts to help people to work from home where possible, as this will help limit the spread of the virus by reducing the amount of contact between people.\n\nIn some circumstances this may be impossible – this would apply to those working for a business or organisation that we have not asked to close and requires them to travel and be at work, such as train or bus drivers, construction workers, restaurant workers handling deliveries or those on the frontline like NHS workers.\n\nFor these workers who need to be at work, do not have symptoms or live with anyone who has symptoms, and are not vulnerable people, we have outlined [clear guidance for employers to help protect workers](https://www.gov.uk/government/publications/guidance-to-employers-and-businesses-about-covid-19/guidance-for-employers-and-businesses-on-coronavirus-covid-19).	https://www.gov.uk/government/publications/coronavirus-outbreak-faqs-what-you-can-and-cant-do/coronavirus-outbreak-faqs-what-you-can-and-cant-do		[]	false	[]	140
Can my boss force me to go into work?	Employers must make all efforts to help people to work from home where possible, as this will help limit the spread of the virus by reducing the amount of contact between people.\n\nIn some circumstances this may be impossible – this would apply to those working for a business or organisation that we have not asked to close and requires them to travel and be at work, such as train or bus drivers, construction workers, restaurant workers handling deliveries or those on the frontline like NHS workers.\n\nFor these workers who need to be at work, do not have symptoms or live with anyone who has symptoms, and are not vulnerable people, we have outlined [clear guidance for employers to help protect workers](https://www.gov.uk/government/publications/guidance-to-employers-and-businesses-about-covid-19/guidance-for-employers-and-businesses-on-coronavirus-covid-19).	https://www.gov.uk/government/publications/coronavirus-outbreak-faqs-what-you-can-and-cant-do/coronavirus-outbreak-faqs-what-you-can-and-cant-do		[]	false	[]	140
I can’t go to work because I need to look after my child, but my boss is threatening to sack me if I don’t. What should I do?	The government is urging employers to take socially responsible decisions and listen to the concerns of their workforce – particularly when they have childcare responsibilities.\n\nEmployers and employees should come to an agreement about these arrangements.\n\nIf individuals need advice they should approach ACAS where they can get impartial advice about in-work disputes.	https://www.gov.uk/government/publications/coronavirus-outbreak-faqs-what-you-can-and-cant-do/coronavirus-outbreak-faqs-what-you-can-and-cant-do		[]	false	[]	141
Can I stay off work to look after my children?	The government is urging employers to take socially responsible decisions and listen to the concerns of their workforce – particularly when they have childcare responsibilities.\n\nEmployers and employees should come to an agreement about these arrangements.\n\nIf individuals need advice they should approach ACAS where they can get impartial advice about in-work disputes.	https://www.gov.uk/government/publications/coronavirus-outbreak-faqs-what-you-can-and-cant-do/coronavirus-outbreak-faqs-what-you-can-and-cant-do		[]	false	[]	141
Can I move house?	The government says that homebuyers and renters should, where possible, delay moving to a new house while measures are in place to fight coronavirus.\n\nIf moving is unavoidable for contractual reasons and the parties are unable to reach an agreement to delay, people must follow advice on staying away from others to minimise the spread of the virus.\n\n[Read the detailed guidance on moving house during the coronavirus outbreak](https://www.gov.uk/guidance/government-advice-on-home-moving-during-the-coronavirus-covid-19-outbreak)	https://www.gov.uk/government/publications/coronavirus-outbreak-faqs-what-you-can-and-cant-do/coronavirus-outbreak-faqs-what-you-can-and-cant-do		[]	false	[]	142
Is it OK to move house?	The government says that homebuyers and renters should, where possible, delay moving to a new house while measures are in place to fight coronavirus.\n\nIf moving is unavoidable for contractual reasons and the parties are unable to reach an agreement to delay, people must follow advice on staying away from others to minimise the spread of the virus.\n\n[Read the detailed guidance on moving house during the coronavirus outbreak](https://www.gov.uk/guidance/government-advice-on-home-moving-during-the-coronavirus-covid-19-outbreak)	https://www.gov.uk/government/publications/coronavirus-outbreak-faqs-what-you-can-and-cant-do/coronavirus-outbreak-faqs-what-you-can-and-cant-do		[]	false	[]	142
Can I go to the park?	The government says that you can still go to the park for outdoor exercise once a day but only alone or with members of your household, not in groups.\n\nCommunal places within parks such as sports courts, playgrounds and outdoor gyms have been closed to protect everyone’s health.\n\nWe ask that households use parks responsibly and keep 2 metres apart from others at all times.\n\nUnless you are with members of your household, gatherings of more than two people in parks and other public spaces have been banned. The police have the powers to disperse gatherings and issue fines if necessary.	https://www.gov.uk/government/publications/coronavirus-outbreak-faqs-what-you-can-and-cant-do/coronavirus-outbreak-faqs-what-you-can-and-cant-do		[]	false	[]	143
Is it OK to go to the park for exercise?	The government says that you can still go to the park for outdoor exercise once a day but only alone or with members of your household, not in groups.\n\nCommunal places within parks such as sports courts, playgrounds and outdoor gyms have been closed to protect everyone’s health.\n\nWe ask that households use parks responsibly and keep 2 metres apart from others at all times.\n\nUnless you are with members of your household, gatherings of more than two people in parks and other public spaces have been banned. The police have the powers to disperse gatherings and issue fines if necessary.	https://www.gov.uk/government/publications/coronavirus-outbreak-faqs-what-you-can-and-cant-do/coronavirus-outbreak-faqs-what-you-can-and-cant-do		[]	false	[]	143
