Question	Answer	Source	Metadata	SuggestedQuestions	IsContextOnly	Prompts	QnaId
I am a final year student. Will I still be able to graduate this summer?	Colleagues across the University are working hard to ensure that all final year students, at all levels who can complete this year, will do so.\n\nThere is [more information and FAQs about graduations here.](https://www.birmingham.ac.uk/graduation/coronavirus.aspx)\n\nYou can read the [message from the Vice Chancellor](https://intranet.birmingham.ac.uk/student/coronavirus/All-student-email-090420.aspx "All-student-email-090420")  regarding this summer's graduation ceremonies here.	University-of-Birmingham.tsv		[]	false	[]	150
Can I still graduate this summer?	Colleagues across the University are working hard to ensure that all final year students, at all levels who can complete this year, will do so.\n\nThere is [more information and FAQs about graduations here.](https://www.birmingham.ac.uk/graduation/coronavirus.aspx)\n\nYou can read the [message from the Vice Chancellor](https://intranet.birmingham.ac.uk/student/coronavirus/All-student-email-090420.aspx "All-student-email-090420")  regarding this summer's graduation ceremonies here.	University-of-Birmingham.tsv		[]	false	[]	150
I am feeling anxious and stressed due to Coronavirus (COVID-19). What can I do?	We are in unprecedented times and it's very normal to be feeling anxious and unsettled at the moment.  There is lots of information about where you can get help and advice on our special\n[Wellbeing pages here](https://intranet.birmingham.ac.uk/student/coronavirus/Wellbeing.aspx "Wellbeing")\n\n, including a\n[Canvas course](https://canvas.bham.ac.uk/courses/42774)\n\nyou can work through with tools, strategies and techniques to support you during this challenging time.	University-of-Birmingham.tsv		[]	false	[]	151
I am worried about COVID-19. Can you help?	We are in unprecedented times and it's very normal to be feeling anxious and unsettled at the moment.  There is lots of information about where you can get help and advice on our special\n[Wellbeing pages here](https://intranet.birmingham.ac.uk/student/coronavirus/Wellbeing.aspx "Wellbeing")\n\n, including a\n[Canvas course](https://canvas.bham.ac.uk/courses/42774)\n\nyou can work through with tools, strategies and techniques to support you during this challenging time.	University-of-Birmingham.tsv		[]	false	[]	151
I am a Birmingham student who is having financial problems because of the Coronavirus crisis. Where can I go for help?	The Funding, Graduation & Awards team continues to be there for our students during this challenging time, working remotely to provide funding advice and hardship payments. For general money advice please visit our \n[financial support and advice pages](https://www.birmingham.ac.uk/study/support/moneyadvice/index.aspx)\n\n. There is also some helpful information on the \n[Citizens Advice Bureau](https://www.citizensadvice.org.uk/health/coronavirus-what-it-means-for-you/)\n\n and  \n[Save the Student](https://www.savethestudent.org/save-money/lifestyle/coronavirus-advice-university.html)\n\n websites about how Coronavirus can affect you financially, including guidance about student loans and paying rent. We also recommend that you read the government’s \n[advice](https://www.gov.uk/government/publications/support-for-those-affected-by-covid-19/support-for-those-affected-by-covid-19)\n\n on the new sources of financial support that are available during the pandemic and, if you are in receipt of student finance, the SLC \n[guidance](https://www.gov.uk/guidance/guidance-for-current-students)\n\n for current students.\n\n All normally registered students are eligible to apply to the [University’s Student Support Fund](https://intranet.birmingham.ac.uk/as/studentservices/funding/funding-available/ssf.aspx) for help towards their living costs if they are experiencing genuine and unavoidable financial difficulties despite having made adequate provision for their studies. We are working hard to assess applications as quickly as we can at this busy time and are reviewing the Fund’s Regulations to ensure that we are best able to meet the needs of our students in light of the current situation.	University-of-Birmingham.tsv		[]	false	[]	152
Where can I get help with financial problems?	The Funding, Graduation & Awards team continues to be there for our students during this challenging time, working remotely to provide funding advice and hardship payments. For general money advice please visit our \n[financial support and advice pages](https://www.birmingham.ac.uk/study/support/moneyadvice/index.aspx)\n\n. There is also some helpful information on the \n[Citizens Advice Bureau](https://www.citizensadvice.org.uk/health/coronavirus-what-it-means-for-you/)\n\n and  \n[Save the Student](https://www.savethestudent.org/save-money/lifestyle/coronavirus-advice-university.html)\n\n websites about how Coronavirus can affect you financially, including guidance about student loans and paying rent. We also recommend that you read the government’s \n[advice](https://www.gov.uk/government/publications/support-for-those-affected-by-covid-19/support-for-those-affected-by-covid-19)\n\n on the new sources of financial support that are available during the pandemic and, if you are in receipt of student finance, the SLC \n[guidance](https://www.gov.uk/guidance/guidance-for-current-students)\n\n for current students.\n\n All normally registered students are eligible to apply to the [University’s Student Support Fund](https://intranet.birmingham.ac.uk/as/studentservices/funding/funding-available/ssf.aspx) for help towards their living costs if they are experiencing genuine and unavoidable financial difficulties despite having made adequate provision for their studies. We are working hard to assess applications as quickly as we can at this busy time and are reviewing the Fund’s Regulations to ensure that we are best able to meet the needs of our students in light of the current situation.	University-of-Birmingham.tsv		[]	false	[]	152
Can you offer any financial advice?	The Funding, Graduation & Awards team continues to be there for our students during this challenging time, working remotely to provide funding advice and hardship payments. For general money advice please visit our \n[financial support and advice pages](https://www.birmingham.ac.uk/study/support/moneyadvice/index.aspx)\n\n. There is also some helpful information on the \n[Citizens Advice Bureau](https://www.citizensadvice.org.uk/health/coronavirus-what-it-means-for-you/)\n\n and  \n[Save the Student](https://www.savethestudent.org/save-money/lifestyle/coronavirus-advice-university.html)\n\n websites about how Coronavirus can affect you financially, including guidance about student loans and paying rent. We also recommend that you read the government’s \n[advice](https://www.gov.uk/government/publications/support-for-those-affected-by-covid-19/support-for-those-affected-by-covid-19)\n\n on the new sources of financial support that are available during the pandemic and, if you are in receipt of student finance, the SLC \n[guidance](https://www.gov.uk/guidance/guidance-for-current-students)\n\n for current students.\n\n All normally registered students are eligible to apply to the [University’s Student Support Fund](https://intranet.birmingham.ac.uk/as/studentservices/funding/funding-available/ssf.aspx) for help towards their living costs if they are experiencing genuine and unavoidable financial difficulties despite having made adequate provision for their studies. We are working hard to assess applications as quickly as we can at this busy time and are reviewing the Fund’s Regulations to ensure that we are best able to meet the needs of our students in light of the current situation.	University-of-Birmingham.tsv		[]	false	[]	152
How can I keep up-to-date?	Please continue to check your student email and the intranet regularly, as these are the main channels we will use to communicate with you. You may also want to follow the University’s official social media channels, if you do not already do so.\n\nFor up-to-date health advice, please check [NHS 111](https://111.nhs.uk/service/COVID-19/), and for travel advice please check the [Foreign & Commonwealth Office (FCO)](https://www.gov.uk/foreign-travel-advice).	University-of-Birmingham.tsv		[]	false	[]	153
Where can I keep up to date about coronavirus and COVID-19?	Please continue to check your student email and the intranet regularly, as these are the main channels we will use to communicate with you. You may also want to follow the University’s official social media channels, if you do not already do so.\n\nFor up-to-date health advice, please check [NHS 111](https://111.nhs.uk/service/COVID-19/), and for travel advice please check the [Foreign & Commonwealth Office (FCO)](https://www.gov.uk/foreign-travel-advice).	University-of-Birmingham.tsv		[]	false	[]	153
I haven’t been receiving all student emails, what should I do?	If you haven’t received any emails, first please double check your spam folder.\n\nIf you have previously unsubscribed to any university emails and would like to re subscribe, send your name and student ID number to the email address below.\n\nIf you are still not receiving emails, please contact the student communications team at [studentcommunications@contacts.bham.ac.uk](mailto:studentcommunications@contacts.bham.ac.uk) with your name and student ID number so we can look into this for you. You can also view a copy of the previous student emails [here](https://intranet.birmingham.ac.uk/student/coronavirus/Covid-19-all-student-email.aspx).	University-of-Birmingham.tsv		[]	false	[]	154
